product_id,title,description,price,category
P001,Stainless Steel Insulated Water Bottle 1L Leakproof,"This 1-liter double-walled stainless steel water bottle keeps drinks cold for 24 hours and hot for 12 hours. The leakproof flip-top lid is one-handed and the powder-coated finish resists scratches and condensation. BPA-free and dishwasher safe, it fits most car cup holders and backpack pockets. Ideal for the gym, hiking, office, and daily commuting. Available in matte black, ocean blue, and sand.",24.99,Sports & Outdoors
P002,Bottle,Nice bottle.,12.50,
P003,Wireless Bluetooth Over-Ear Headphones with Active Noise Cancelling,"Immerse yourself with these over-ear Bluetooth 5.3 headphones featuring hybrid active noise cancelling, 40mm drivers, and up to 40 hours of battery life. Plush memory-foam ear cushions and an adjustable headband keep you comfortable for long listening sessions. Built-in dual microphones deliver clear calls, and the foldable design with a carrying case makes travel easy. Quick-charge gives 5 hours of playback in 10 minutes.",89.00,Electronics
P004,CHEAP PHONE CASE BUY NOW!!!,phone case,,Accessories
P005,Organic Cotton Crewneck T-Shirt Unisex Pre-Shrunk,"Made from 100% GOTS-certified organic cotton, this unisex crewneck tee is soft, breathable, and pre-shrunk to hold its fit wash after wash. Mid-weight 180 gsm fabric with reinforced shoulder seams and a tagless neck label for all-day comfort. Ethically manufactured and available in sizes XS to 3XL across twelve colors.",19.95,Clothing
P006,Laptop Stand,Adjustable aluminum laptop stand for desks.,34.00,Office
P007,thing,,,
P008,Smart LED Desk Lamp with USB Charging Port and Touch Dimmer,"This smart LED desk lamp offers five color temperatures and ten brightness levels controlled by an intuitive touch panel. The built-in 5V/2A USB port charges your phone while you work, and the memory function recalls your last setting. An adjustable arm and head let you direct light exactly where needed, and the eye-care diffused panel reduces glare and flicker. Includes a 60-minute auto-off timer.",29.99,Home & Office
P009,Mug Set,Set of 4 ceramic mugs. Microwave safe.,15.00,Kitchen
P010,GAMING MOUSE RGB 16000 DPI PRO ULTRA SUPER FAST WIRELESS GAMER EDITION DEAL,"rgb mouse",45.00,Electronics
P011,Yoga Mat Non-Slip Eco-Friendly TPE 6mm Thick with Carry Strap,"Practice with confidence on this 6mm TPE yoga mat that cushions joints while staying firm for balance poses. The double-sided non-slip texture grips both the floor and your hands, and the closed-cell surface wipes clean and resists sweat absorption. Lightweight at 1kg, it rolls up tight and includes a carry strap. Free of PVC, latex, and harmful phthalates.",27.50,Sports & Outdoors
P012,Pen,,2.00,Office
